"","GSM4250514","GSM4250515","GSM4250516","GSM4250517","GSM4250518","GSM4250519","GSM4250520","GSM4250521","GSM4250522","GSM4250523","GSM4250524","GSM4250525","GSM4250526","GSM4250527","GSM4250528","GSM4250529","GSM4250530","GSM4250531","GSM4250532","GSM4250533","GSM4250534","GSM4250535","GSM4250536","GSM4250537","GSM4250538","GSM4250539","GSM4250540","GSM4250541","GSM4250542","GSM4250543","GSM4250544","GSM4250545","GSM4250546","GSM4250547","GSM4250548","GSM4250549"
"hsa-miR-100-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-101-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-103a-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-105-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-106a-5p+hsa-miR-17-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-106b-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-107",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-10a-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-10b-5p",5.0574502721839,5.08406426478847,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,5.08406426478847,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.93357263826102,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1178-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1180-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1183",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1185-1-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1185-2-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,5,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1185-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1193",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1197",5.0574502721839,4.89287670006069,4.96670731415032,4.86888427302877,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,5.20554891117303,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.94719858426206,5.39643353125099,4.95745033634712,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1200",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1202",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1203",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1204",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1205",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1206",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-122-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1224-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1224-5p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1226-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1228-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,5.02989454966334,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1233-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1234-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1236-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-124-3p",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1244",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
"hsa-miR-1245a",5.0574502721839,4.89287670006069,4.96670731415032,4.70597790168252,5.44824022521607,5.05918219921169,4.58315800387441,4.84849775538515,5.1197711619529,5.0036022366802,4.85996954822103,5.09550251765867,5.07553263116736,4.99186193055632,5.09761079662642,4.79389588254888,5.05831649559082,5.09676785471469,5.18745105402733,5.23993261348524,4.85049941375812,5.21761848535105,5.06047978140759,5.46074256378964,5.33699741660501,4.75328361646088,5.39643353125099,4.67638025546692,5.08915913191124,5.49313492230551,5.06134418828839,5.16390121381454,5.41515020542639,5.24792751344359,4.94345253855882,5.23878685958712
